Time (ms),Voltage (V)
0.0,0.9
0.004,0.69
0.008,0.43
0.013,0.19
0.017,0.04
0.021,0.01
0.025,0.12
0.03,0.33
0.034,0.59
0.038,0.83
0.042,0.97
0.046,0.99
0.051,0.87
0.055,0.65
0.059,0.39
0.063,0.16
0.068,0.03
0.072,0.02
0.076,0.14
0.08,0.44
0.084,0.7
0.089,0.9
0.093,1.0
0.097,0.96
0.101,0.79
0.106,0.55
0.11,0.29
0.114,0.09
0.118,0.01
0.122,0.05
0.127,0.23
0.131,0.48
0.135,0.73
0.139,0.92
0.144,1.0
0.148,0.94
0.152,0.76
0.156,0.51
0.16,0.26
0.165,0.04
0.169,0.01
0.173,0.11
0.177,0.33
0.182,0.59
0.186,0.82
0.19,0.97
0.194,0.99
0.198,0.88
0.203,0.66
0.207,0.4
0.211,0.17
0.215,0.03
0.22,0.02
0.224,0.14
0.228,0.36
0.232,0.62
0.236,0.85
0.241,0.98
0.245,0.98
0.249,0.79
0.253,0.53
0.258,0.26
0.262,0.07
0.266,0.0
0.27,0.07
0.274,0.25
0.279,0.51
0.283,0.76
0.287,0.94
0.291,1.0
0.296,0.92
0.3,0.73
0.304,0.48
0.308,0.23
0.312,0.05
0.317,0.0
0.321,0.09
0.325,0.29
0.329,0.54
0.334,0.85
0.338,0.98
0.342,0.99
0.346,0.85
0.35,0.63
0.355,0.37
0.359,0.15
0.363,0.02
0.367,0.03
0.372,0.16
0.376,0.39
0.38,0.65
0.384,0.87
0.388,0.99
0.393,0.97
0.397,0.83
0.401,0.59
0.405,0.33
0.41,0.12
0.414,0.01
0.418,0.07
0.422,0.25
0.426,0.5
0.431,0.75
0.435,0.94
0.439,1.0
0.443,0.93
0.448,0.74
0.452,0.49
0.456,0.24
0.46,0.06
0.464,0.01
0.469,0.08
0.473,0.28
0.477,0.54
0.481,0.78
0.486,0.95
0.49,1.0
0.494,0.91
0.498,0.71
0.502,0.38
0.507,0.15
0.511,0.02
0.515,0.02
0.519,0.15
0.524,0.38
0.528,0.64
0.532,0.86
0.536,0.99
0.54,0.98
0.545,0.84
0.549,0.61
0.553,0.35
0.557,0.13
0.562,0.01
0.566,0.03
0.57,0.18
0.574,0.42
0.578,0.67
0.583,0.89
0.587,1.0
0.591,0.92
0.595,0.71
0.6,0.45
0.604,0.21
0.608,0.05
0.612,0.01
0.616,0.1
0.621,0.31
0.625,0.56
0.629,0.81
0.633,0.96
0.638,0.99
0.642,0.89
0.646,0.68
0.65,0.42
0.654,0.18
0.659,0.03
0.663,0.01
0.667,0.12
0.671,0.42
0.676,0.67
0.68,0.89
0.684,0.99
0.688,0.96
0.692,0.81
0.697,0.57
0.701,0.31
0.705,0.11
0.709,0.01
0.714,0.05
0.718,0.21
0.722,0.45
0.726,0.71
0.73,0.91
0.735,1.0
0.739,0.95
0.743,0.78
0.747,0.54
0.752,0.28
0.756,0.05
0.76,0.01
0.764,0.1
0.768,0.3
0.773,0.56
0.777,0.8
0.781,0.96
0.785,1.0
0.79,0.9
0.794,0.69
0.798,0.43
0.802,0.19
0.806,0.04
0.811,0.01
0.815,0.12
0.819,0.33
0.823,0.59
0.828,0.83
0.832,0.97
0.836,0.99
0.84,0.82
0.844,0.56
0.849,0.3
0.853,0.1
0.857,0.01
0.861,0.05
0.866,0.21
0.87,0.46
0.874,0.71
0.878,0.91
0.882,1.0
0.887,0.95
0.891,0.77
0.895,0.53
0.899,0.27
0.904,0.08
0.908,0.0
0.912,0.06
0.916,0.24
0.92,0.49
0.925,0.81
0.929,0.96
0.933,0.99
0.937,0.89
0.942,0.68
0.946,0.34
0.95,0.13
0.954,0.01
0.958,0.03
0.963,0.18
0.967,0.42
0.971,0.67
0.975,0.89
0.98,0.99
0.984,0.96
0.988,0.81
0.992,0.57
0.996,0.31
1.001,0.11
1.005,0.01
1.009,0.08
1.013,0.27
1.018,0.53
1.022,0.77
1.026,0.95
1.03,1.0
1.034,0.91
1.039,0.72
1.043,0.46
1.047,0.21
1.051,0.05
1.056,0.01
1.06,0.1
1.064,0.31
1.068,0.56
1.072,0.8
1.077,0.96
1.081,0.99
1.085,0.89
1.089,0.68
1.094,0.35
1.098,0.14
1.102,0.02
1.106,0.03
1.11,0.17
1.115,0.41
1.119,0.67
1.123,0.88
1.127,0.99
1.132,0.97
1.136,0.82
1.14,0.58
1.144,0.32
1.148,0.11
1.153,0.01
1.157,0.04
1.161,0.2
1.165,0.44
1.17,0.7
1.174,0.9
1.178,1.0
1.182,0.91
1.186,0.7
1.191,0.44
1.195,0.2
1.199,0.04
1.203,0.01
1.208,0.11
1.212,0.32
1.216,0.58
1.22,0.82
1.224,0.97
1.229,0.99
1.233,0.88
1.237,0.66
1.241,0.41
1.246,0.17
1.25,0.03
1.254,0.02
1.258,0.13
1.262,0.35
1.267,0.62
1.271,0.85
1.275,0.98
1.279,0.98
1.284,0.86
1.288,0.63
1.292,0.37
1.296,0.15
1.3,0.02
1.305,0.02
1.309,0.16
1.313,0.39
1.317,0.65
1.322,0.87
1.326,0.99
1.33,0.97
1.334,0.83
1.338,0.59
1.343,0.34
1.347,0.12
1.351,0.01
1.355,0.03
1.36,0.19
1.364,0.42
1.368,0.68
1.372,0.89
1.376,0.99
1.381,0.96
1.385,0.8
1.389,0.56
1.393,0.3
1.398,0.1
1.402,0.0
1.406,0.05
1.41,0.22
1.414,0.46
1.419,0.72
1.423,0.92
1.427,1.0
1.431,0.95
1.436,0.77
1.44,0.53
1.444,0.27
1.448,0.08
1.452,0.0
1.457,0.06
1.461,0.24
1.465,0.5
1.469,0.75
1.474,0.93
1.478,1.0
1.482,0.93
1.486,0.75
1.49,0.49
1.495,0.24
1.499,0.06
1.503,0.0
1.507,0.08
1.512,0.28
1.516,0.53
1.52,0.78
1.524,0.95
1.528,1.0
1.533,0.91
1.537,0.71
1.541,0.45
1.545,0.21
1.55,0.05
1.554,0.01
1.558,0.1
1.562,0.31
1.566,0.57
1.571,0.81
1.575,0.96
1.579,0.99
1.583,0.89
1.588,0.68
1.592,0.42
1.596,0.18
1.6,0.03
1.604,0.01
1.609,0.13
1.613,0.34
1.617,0.6
1.621,0.84
1.626,0.98
1.63,0.99
1.634,0.87
1.638,0.65
1.642,0.38
1.647,0.15
1.651,0.02
1.655,0.02
1.659,0.15
1.664,0.37
1.668,0.64
1.672,0.86
1.676,0.99
1.68,0.98
1.685,0.84
1.689,0.61
1.693,0.35
1.697,0.13
1.702,0.01
1.706,0.03
1.71,0.17
1.714,0.41
1.718,0.67
