Time (ms),Voltage (V)
0.0,0.0
0.004,0.09
0.009,0.11
0.013,0.11
0.018,0.14
0.022,0.15
0.027,0.15
0.031,0.15
0.036,0.15
0.04,0.16
0.045,0.15
0.049,0.15
0.054,0.14
0.058,0.15
0.063,0.15
0.067,0.16
0.072,0.13
0.076,0.13
0.08,0.13
0.085,0.13
0.089,0.13
0.094,0.12
0.098,0.12
0.103,0.12
0.107,0.12
0.112,0.12
0.116,0.11
0.121,0.11
0.125,0.11
0.13,0.11
0.134,0.1
0.139,0.1
0.143,0.1
0.147,0.1
0.152,0.1
0.156,0.09
0.161,0.1
0.165,0.1
0.17,0.1
0.174,0.1
0.179,0.09
0.183,0.09
0.188,0.09
0.192,0.07
0.197,0.08
0.201,0.09
0.206,0.09
0.21,0.09
0.215,0.08
0.219,0.08
0.223,0.08
0.228,0.08
0.232,0.08
0.237,0.08
0.241,0.08
0.246,0.08
0.25,0.08
0.255,0.08
0.259,0.09
0.264,0.09
0.268,0.08
0.273,0.09
0.277,0.11
0.282,0.12
0.286,0.13
0.29,0.12
0.295,0.15
0.299,0.15
0.304,0.16
0.308,0.18
0.313,0.22
0.317,0.21
0.322,0.21
0.326,0.33
0.331,0.47
0.335,0.47
0.34,0.44
0.344,0.59
0.349,0.93
0.353,0.92
0.358,0.87
0.362,0.88
0.366,1.5
0.371,1.61
0.375,1.52
0.38,1.44
0.384,1.96
0.389,2.42
0.393,2.31
0.398,2.17
0.402,2.29
0.407,3.18
0.411,3.12
0.416,2.94
0.42,2.77
0.425,3.54
0.429,3.81
0.433,3.6
0.438,3.37
0.442,3.53
0.447,4.31
0.451,4.12
0.456,3.86
0.46,3.63
0.465,4.39
0.469,4.48
0.474,4.21
0.478,3.93
0.483,4.02
0.487,4.59
0.492,4.35
0.496,4.06
0.5,3.8
0.505,4.25
0.509,4.27
0.514,3.99
0.518,3.72
0.523,3.61
0.527,4.13
0.532,3.93
0.536,3.66
0.541,3.41
0.545,3.68
0.55,3.96
0.554,3.72
0.559,3.47
0.563,3.28
0.568,3.94
0.572,3.91
0.576,3.66
0.581,3.41
0.585,3.56
0.59,4.16
0.594,3.95
0.599,3.68
0.603,3.46
0.608,4.11
0.612,4.22
0.617,3.96
0.621,3.7
0.626,3.71
0.63,4.31
0.635,4.11
0.639,3.84
0.644,3.57
0.648,3.96
0.652,4.06
0.657,3.81
0.661,3.54
0.666,3.38
0.67,3.86
0.675,3.7
0.679,3.45
0.684,3.21
0.688,3.35
0.693,3.62
0.697,3.43
0.702,3.17
0.706,2.98
0.711,3.41
0.715,3.35
0.719,3.13
0.724,2.92
0.728,2.93
0.733,3.19
0.737,3.01
0.742,2.8
0.746,2.6
0.751,2.82
0.755,2.79
0.76,2.59
0.764,2.41
0.769,2.3
0.773,2.48
0.778,2.33
0.782,2.16
0.787,2.01
0.791,2.03
0.795,2.06
0.8,1.92
0.804,1.79
0.809,1.67
0.813,1.79
0.818,1.72
0.822,1.61
0.827,1.49
0.831,1.46
0.836,1.56
0.84,1.46
0.845,1.37
0.849,1.28
0.854,1.33
0.858,1.33
0.862,1.24
0.867,1.16
0.871,1.1
0.876,1.21
0.88,1.13
0.885,1.06
0.889,0.99
0.894,1.01
0.898,1.04
0.903,0.97
0.907,0.9
0.912,0.85
0.916,0.89
0.921,0.84
0.925,0.79
0.929,0.74
0.934,0.7
0.938,0.69
0.943,0.64
0.947,0.6
0.952,0.54
0.956,0.54
0.961,0.53
0.965,0.49
0.97,0.46
0.974,0.43
0.979,0.45
0.983,0.44
0.988,0.42
0.992,0.39
0.997,0.39
1.001,0.42
1.005,0.42
1.01,0.4
1.014,0.37
1.019,0.39
1.023,0.38
1.028,0.33
1.032,0.35
1.037,0.33
1.041,0.32
1.046,0.3
1.05,0.27
1.055,0.27
1.059,0.25
1.064,0.24
1.068,0.23
1.072,0.22
1.077,0.21
1.081,0.2
1.086,0.22
1.09,0.22
1.095,0.21
1.099,0.2
1.104,0.23
1.108,0.24
1.113,0.24
1.117,0.23
1.122,0.22
1.126,0.27
1.131,0.27
1.135,0.26
1.14,0.24
1.144,0.26
1.148,0.27
1.153,0.24
1.157,0.24
1.162,0.24
1.166,0.26
1.171,0.26
1.175,0.24
1.18,0.23
1.184,0.24
1.189,0.26
1.193,0.25
1.198,0.24
1.202,0.22
1.207,0.26
1.211,0.27
1.215,0.26
1.22,0.24
1.224,0.24
1.229,0.27
1.233,0.28
1.238,0.26
1.242,0.25
1.247,0.28
1.251,0.31
1.256,0.29
1.26,0.28
1.265,0.27
1.269,0.32
1.274,0.32
1.278,0.3
1.283,0.28
1.287,0.3
1.291,0.34
1.296,0.32
1.3,0.29
1.305,0.3
1.309,0.33
1.314,0.32
1.318,0.3
1.323,0.28
1.327,0.29
1.332,0.31
1.336,0.29
1.341,0.27
1.345,0.26
1.35,0.28
1.354,0.28
1.358,0.26
1.363,0.25
1.367,0.25
1.372,0.29
1.376,0.28
1.381,0.32
1.385,0.25
1.39,0.27
1.394,0.3
1.399,0.28
1.403,0.28
1.408,0.27
1.412,0.31
1.417,0.3
1.421,0.28
1.426,0.27
1.43,0.28
1.434,0.29
1.439,0.28
1.443,0.26
1.448,0.25
1.452,0.27
1.457,0.28
1.461,0.24
1.466,0.23
1.47,0.23
1.475,0.23
1.479,0.22
1.484,0.21
1.488,0.2
1.493,0.21
1.497,0.21
1.501,0.2
1.506,0.18
1.51,0.19
1.515,0.2
1.519,0.2
1.524,0.19
1.528,0.18
1.533,0.23
1.537,0.2
1.542,0.19
1.546,0.18
1.551,0.18
1.555,0.19
1.56,0.18
1.564,0.17
1.569,0.17
1.573,0.17
1.577,0.17
1.582,0.18
1.586,0.16
1.591,0.15
1.595,0.15
1.6,0.15
1.604,0.14
1.609,0.14
1.613,0.14
1.618,0.14
1.622,0.13
1.627,0.13
1.631,0.13
1.636,0.12
1.64,0.13
1.645,0.12
1.649,0.12
1.653,0.11
1.658,0.12
1.662,0.12
1.667,0.11
1.671,0.11
1.676,0.11
1.68,0.11
1.685,0.11
1.689,0.11
1.694,0.1
1.698,0.1
1.703,0.1
1.707,0.1
1.712,0.09
1.716,0.09
1.72,0.09
1.725,0.09
1.729,0.09
1.734,0.11
1.738,0.08
1.743,0.09
1.747,0.09
1.752,0.09
1.756,0.09
1.761,0.09
1.765,0.09
1.77,0.09
1.774,0.09
1.779,0.1
1.783,0.1
1.788,0.1
1.792,0.12
1.796,0.14
1.801,0.14
1.805,0.13
1.81,0.13
1.814,0.17
1.819,0.17
1.823,0.17
1.828,0.23
1.832,0.23
1.837,0.23
1.841,0.27
1.846,0.48
1.85,0.5
1.855,0.47
1.859,0.49
1.863,0.88
1.868,0.96
1.872,0.91
1.877,0.87
1.881,1.29
1.886,1.66
1.89,1.58
1.895,1.48
1.899,1.67
1.904,2.43
1.908,2.38
1.913,2.25
1.917,2.14
1.922,2.98
1.926,3.21
1.931,3.03
1.935,2.85
1.939,3.17
1.944,3.9
1.948,3.72
1.953,3.49
1.957,3.33
1.962,4.23
1.966,4.24
1.971,3.98
1.975,3.72
1.98,4.06
1.984,4.59
1.989,4.35
1.993,4.06
1.998,3.86
2.002,4.59
2.006,4.48
2.011,4.19
2.015,3.92
2.02,4.03
2.024,4.39
2.029,4.13
2.033,3.85
2.038,3.6
2.042,4.05
2.047,4.06
2.051,3.79
2.056,3.53
2.06,3.47
2.065,4.03
2.069,3.85
2.074,3.59
2.078,3.34
2.082,3.71
2.087,4.01
2.091,3.78
2.096,3.53
2.1,3.37
2.105,4.13
2.109,4.07
2.114,3.81
2.118,3.56
2.123,3.8
2.127,4.32
2.132,4.09
2.136,3.82
2.141,3.6
2.145,4.26
2.149,4.24
2.154,3.96
2.158,3.7
2.163,3.73
2.167,4.17
2.172,3.94
2.176,3.66
2.181,3.41
2.185,3.78
2.19,3.81
2.194,3.57
2.199,3.33
2.203,3.22
2.208,3.7
2.212,3.51
2.217,3.28
2.221,3.06
2.225,3.29
2.23,3.46
2.234,3.25
2.239,3.03
2.243,2.87
2.248,3.24
2.252,3.12
2.257,2.91
2.261,2.71
2.266,2.74
